"PROBEID","SYMBOL","GENENAME","UNIPROT"
"19279-42","RBP1","retinol binding protein 1","P09455"
"19280-29","UBE2D3","ubiquitin conjugating enzyme E2 D3","D6RAH7"
"19281-86","MAFG","MAF bZIP transcription factor G","O15525"
"19282-3","RAB13","RAB13, member RAS oncogene family","A0A087WWB9"
"19286-30","MYL5","myosin light chain 5","Q02045"
"19287-59","DENR","density regulated re-initiation and release factor","O43583"
"19289-29","UROD","uroporphyrinogen decarboxylase","A0A494C085"
"19290-5","HPRT1","hypoxanthine phosphoribosyltransferase 1","A0A140VJL3"
"19291-2","CASQ2","calsequestrin 2","A0AAQ5BGS1"
"19293-6","VPS26A","VPS26 retromer complex component A","S4R3Q6"
"19294-26","CRIPT","CXXC repeat containing interactor of PDZ3 domain","Q9P021"
"19295-32","PPP1CC","protein phosphatase 1 catalytic subunit gamma","Q9UPN1"
"19296-51","MYL7","myosin light chain 7","B2R4L3"
"19297-4","G6PD","glucose-6-phosphate dehydrogenase","A8K8D9"
"19302-7","GIMAP6","GTPase, IMAP family member 6","Q6P9H5"
"19303-64","PET117","PET117 cytochrome c oxidase chaperone","L0R6F6"
"19310-81","COPE","COPI coat complex subunit epsilon","M0QXB4"
"19311-15","CRYGS","crystallin gamma S","A0A140CTX8"
"19316-2","HSCB","HscB mitochondrial iron-sulfur cluster cochaperone","A8MYY2"
"19317-114","ACP3","acid phosphatase 3","D3DNC6"
"19323-1","EBAG9","estrogen receptor binding site associated antigen 9","A8K3N6"
"19325-21","ABHD14B","abhydrolase domain containing 14B","A0A024R352"
"19327-31","HAT1","histone acetyltransferase 1","O14929"
"19328-51","CHEK2","checkpoint kinase 2","A8JZZ5"
"19329-31","HIPK3","homeodomain interacting protein kinase 3","A8KAE4"
"19331-18","BAIAP2","BAR/IMD domain containing adaptor protein 2","B4DMV0"
"19332-1","MOB4","MOB family member 4, phocein","A8K012"
"19333-4","HNRNPK","heterogeneous nuclear ribonucleoprotein K","A0A994J4E9"
"19334-62","TXNDC12","thioredoxin domain containing 12","B3KQS0"
"19335-2","JPT1","Jupiter microtubule associated homolog 1","Q9UK76"
"19338-3","LZIC","leucine zipper and CTNNBIP1 domain containing","B2R6F0"
"19341-36","ACBD6","acyl-CoA binding domain containing 6","B2RAA8"
"19347-37","CA12","carbonic anhydrase 12","B2RE24"
"19353-25","OSTM1","osteoclastogenesis associated transmembrane protein 1","A0A8V8TPT2"
"19356-20","TOM1L2","target of myb1 like 2 membrane trafficking protein","Q6ZVM7"
"19357-11","VAMP7","vesicle associated membrane protein 7","B4DE96"
"19360-22","LRRTM1","leucine rich repeat transmembrane neuronal 1","A8K397"
"19361-78","MATN3","matrilin 3","A8K491"
"19364-163","PCNA","proliferating cell nuclear antigen","B2R897"
"19365-11","BCAT2","branched chain amino acid transaminase 2","M0QZP4"
"19366-8","PEX26","peroxisomal biogenesis factor 26","A0A024R100"
"19367-34","ECI1","enoyl-CoA delta isomerase 1","P42126"
"19369-17","KAT2A","lysine acetyltransferase 2A","Q8N1A2"
"19370-30","HS3ST4","heparan sulfate-glucosamine 3-sulfotransferase 4","Q5QI42"
"19371-18","MAPRE1","microtubule associated protein RP/EB family member 1","B2R6I7"
"19372-7","MDGA2","MAM domain containing glycosylphosphatidylinositol anchor 2","F6W3S7"
"19373-3","MYL12A","myosin light chain 12A","P19105"
"19374-72","MTCP1","mature T cell proliferation 1","P56278"
"19376-74","NNMT","nicotinamide N-methyltransferase","A0A024R3J0"
"19377-14","OLFM2","olfactomedin 2","K7EKW2"
"19379-154","RAB3D","RAB3D, member RAS oncogene family","A0A024R7G2"
"19381-7","RGS21","regulator of G protein signaling 21","Q2M5E4"
"19383-131","CINP","cyclin dependent kinase 2 interacting protein","H0YKY0"
"19388-2","CDH12","cadherin 12","B2RBT1"
"19392-6","DDAH1","dimethylarginine dimethylaminohydrolase 1","B4E3V1"
"19437-61","VEGFA","vascular endothelial growth factor A","J3KPA4"
"19438-68","SYF2","SYF2 pre-mRNA splicing factor","B2RBX8"
"19446-1","GMPR2","guanosine monophosphate reductase 2","A0AAG2TL40"
"19448-104","UPP1","uridine phosphorylase 1","D3DVM4"
"19467-3","RBKS","ribokinase","Q9H477"
"19482-11","HDHD3","haloacid dehalogenase like hydrolase domain containing 3","B2RD47"
"19483-16","KDSR","3-ketodihydrosphingosine reductase","B2R5Y1"
"19488-1","PDCD6","programmed cell death 6","Q53FC3"
"19491-11","HSD17B8","hydroxysteroid 17-beta dehydrogenase 8","A0A1U9X7U3"
"19492-5","KAAG1","kidney associated DCDC2 antisense RNA 1",NA
"19496-1","NPL","N-acetylneuraminate pyruvate lyase","Q9BXD5"
"19503-2","SNX3","sorting nexin 3","O60493"
"19504-22","DTYMK","deoxythymidylate kinase","Q53F55"
"19506-6","GLYAT","glycine-N-acyltransferase","Q6IB77"
"19511-8","DCUN1D2","defective in cullin neddylation 1 domain containing 2","Q5JSA5"
"19516-10","HMGA2","high mobility group AT-hook 2","F5H2A4"
"19518-12","HK3","hexokinase 3","P52790"
"19523-215","PARK7","Parkinsonism associated deglycase","B2R4Z1"
"19545-145","PARK7","Parkinsonism associated deglycase","B2R4Z1"
"19553-14","STX1A","syntaxin 1A","Q16623"
"19555-1","SUMO2","small ubiquitin like modifier 2","P61956"
"19556-12","CR1","complement C3b/C4b receptor 1 (Knops blood group)","P17927"
"19557-3","KLB","klotho beta","B7ZL50"
"19558-10","LRP4","LDL receptor related protein 4","B2RN39"
"19560-23","PLXNA4","plexin A4","A0A384NYW6"
"19561-216","PLXND1","plexin D1","A7E2C6"
"19562-8","USP28","ubiquitin specific peptidase 28","B4E3L3"
"19563-3","SEZ6L","seizure related 6 homolog like","Q9BYH1"
"19564-61","IRF4","interferon regulatory factor 4","F2Z3D5"
"19567-1","EGFR","epidermal growth factor receptor","F2YGG7"
"19568-17","IL15","interleukin 15","D3DNZ2"
"19570-12","FGF8","fibroblast growth factor 8","A0A087X1S5"
"19572-10","CEBPG","CCAAT enhancer binding protein gamma","B2R946"
"19574-5","ITGB3","integrin subunit beta 3","A0A5E4DMZ9"
"19575-4","EPOR","erythropoietin receptor","B2RCG4"
"19578-19","DOK2","docking protein 2","B4DKQ6"
"19579-5","DEFA1","defensin alpha 1","P11479"
"19581-15","IGFBP5","insulin like growth factor binding protein 5","P24593"
"19584-33","FGF9","fibroblast growth factor 9","A0A7U3L6D0"
"19586-89","RAB3C","RAB3C, member RAS oncogene family","Q96E17"
"19587-12","KPNA1","karyopherin subunit alpha 1","D3DN93"
"19590-46","SFTPD","surfactant protein D","P35247"
"19596-18","BRF1","BRF1 general transcription factor IIIB subunit","Q92994"
"19601-15","ASB9","ankyrin repeat and SOCS box containing 9","A0A024RBW7"
"19602-36","JUND","JunD proto-oncogene, AP-1 transcription factor subunit","P17535"
"19606-28","IHH","Indian hedgehog signaling molecule","B9EGM5"
"19612-3","CD81","CD81 molecule","E9PJK1"
"19613-16","RDH10","retinol dehydrogenase 10","Q8IZV5"
"19614-8","TCN1","transcobalamin 1","A8KAC5"
"19615-213","NT5C3A","5'-nucleotidase, cytosolic IIIA","X6RM59"
"19616-100","EFHD1","EF-hand domain family member D1","Q53SA2"
"19617-5","PTGR1","prostaglandin reductase 1","A8K0N2"
"19620-16","DLG2","discs large MAGUK scaffold protein 2","A0A3B3ITF1"
"19622-7","INHBA","inhibin subunit beta A","A4D1W7"
"19623-26","RPSA","ribosomal protein SA","A0A0C4DG17"
"19630-2","SNCG","synuclein gamma","F8W754"
"19631-13","KNG1","kininogen 1","B4DPP8"
"19635-69","FGL2","fibrinogen like 2","A4D1B8"
"19636-23","HLA-G","major histocompatibility complex, class I, G","A0A024RCI4"
"19637-9","CRH","corticotropin releasing hormone","A0A0S2Z478"
"19638-9","PDYN","prodynorphin","A8K0Q3"
"19639-53","IAPP","islet amyloid polypeptide","F5H0S1"
"19640-2","PTH","parathyroid hormone","P01270"
"19742-3","SEPTIN5","septin 5","E7EX32"
"19743-12","VSTM1","V-set and transmembrane domain containing 1","A0A0G2JPS7"
"19748-3","MVD","mevalonate diphosphate decarboxylase","P53602"
"19751-21","ADA","adenosine deaminase","A0A0S2Z381"
"19752-197","METAP1D","methionyl aminopeptidase type 1D, mitochondrial","Q6UB28"
"19755-38","ATP5IF1","ATP synthase inhibitory factor subunit 1","Q5JXL8"
"19760-26","CPA1","carboxypeptidase A1","A4D1M1"
"19765-17","CLEC4G","C-type lectin domain family 4 member G","A0A7I2V4U5"
"19767-20","CCNE1","cyclin E1","A8K684"
"19768-13","CSTB","cystatin B","P04080"
"19774-8","HBG2","hemoglobin subunit gamma 2","A8MZE0"
"19784-16","LY6D","lymphocyte antigen 6 family member D","B2R5F1"
"19786-26","MEP1A","meprin A subunit alpha","A2RRM4"
"19787-14","MERTK","MER proto-oncogene, tyrosine kinase","B2RE75"
"19788-6","MAT2A","methionine adenosyltransferase 2A","A0A140VJP5"
"19794-10","NUDT14","nudix hydrolase 14","B3KXY7"
"19797-4","KAT2A","lysine acetyltransferase 2A","Q8N1A2"
"19799-2","PGAM4","phosphoglycerate mutase family member 4","Q0D2Q6"
"19802-22","EBAG9","estrogen receptor binding site associated antigen 9","A8K3N6"
"19803-34","RBP2","retinol binding protein 2","A8K7G3"
"19808-26","RAB3D","RAB3D, member RAS oncogene family","A0A024R7G2"
"19809-47","POLR2I","RNA polymerase II subunit I","B2R5J2"
"19819-7","RGS21","regulator of G protein signaling 21","Q2M5E4"
"19821-10","PGLYRP4","peptidoglycan recognition protein 4","A8K838"
"19823-75","SIRT1","sirtuin 1","A8K128"
"19824-3","UBE2R2","ubiquitin conjugating enzyme E2 R2","D3DRL5"
"20054-28","ACO1","aconitase 1","D3DRK7"
"20055-40","ALDH1A2","aldehyde dehydrogenase 1 family member A2","H0YMG7"
"20056-7","FZD10","frizzled class receptor 10","Q6NSL8"
"20057-177","ASF1B","anti-silencing function 1B histone chaperone","B4DXU6"
"20064-24","FN1","fibronectin 1","B7ZLE5"
"20066-19","FZD5","frizzled class receptor 5","A8K2X1"
"20067-26","HABP2","hyaluronan binding protein 2","Q14520"
"20068-61","GAGE12F","G antigen 12F","B7ZM13"
"20069-23","GLYATL2","glycine-N-acyltransferase like 2","A5LGC7"
"20071-53","NFKBIE","NFKB inhibitor epsilon","Q7LC14"
"20073-22","KRAS","KRAS proto-oncogene, GTPase","A8K8Z5"
"20074-3","LAMA3","laminin subunit alpha 3","A0A0A6YYF2"
"20075-130","MAGEA4","MAGE family member A4","P43358"
"20076-7","MNDA","myeloid cell nuclear differentiation antigen","B2R829"
"20078-6","MYL6B","myosin light chain 6B","A0A8Q3SIC5"
"20079-6","PCK2","phosphoenolpyruvate carboxykinase 2, mitochondrial","A0A0S2Z451"
"20081-14","PIM2","Pim-2 proto-oncogene, serine/threonine kinase","A0AA34QVH7"
"20083-1","RAB6A","RAB6A, member RAS oncogene family","P20340"
"20086-5","RAB11B","RAB11B, member RAS oncogene family","A5YM50"
"20087-3","SELENOF","selenoprotein F","A0A0B4J1S4"
"20089-172","SULT1C4","sulfotransferase family 1C member 4","O75897"
"20090-63","UBE2E3","ubiquitin conjugating enzyme E2 E3","A0A1B0GX65"
"20091-138","EFNA1","ephrin A1","A0A384ME06"
"20093-9","VCAM1","vascular cell adhesion molecule 1","A8K6R7"
"20103-176","OGG1","8-oxoguanine DNA glycosylase","A0A9L9PXU1"
"20105-7","MYL6","myosin light chain 6","J3KND3"
"20106-80","DCPS","decapping enzyme, scavenger","Q53G42"
"20107-11","MYL4","myosin light chain 4","A0A1C7CYY4"
"20110-25","JPT2","Jupiter microtubule associated homolog 2","H3BMV3"
"20111-5","BASP1","brain abundant membrane attached signal protein 1","B4DJA8"
"20116-30","OXSR1","oxidative stress responsive kinase 1","C9JIG9"
"20117-5","EIF4EBP2","eukaryotic translation initiation factor 4E binding protein 2","B2R9B9"
"20120-101","AMIGO1","adhesion molecule with Ig like domain 1","B4DIM3"
"20126-19","GFAP","glial fibrillary acidic protein","B4DJW0"
"20127-102","HEPH","hephaestin","A0A0C4DG76"
"20128-1","CREB1","cAMP responsive element binding protein 1","B7Z5C6"
"20130-144","CSNK1G1","casein kinase 1 gamma 1","A0A0U1RQY7"
"20133-1","MAGEA3","MAGE family member A3","P43357"
"20134-27","MARCO","macrophage receptor with collagenous structure","B4DLJ6"
"20135-85","RNGTT","RNA guanylyltransferase and 5'-phosphatase","B2R623"
"20137-49","HNRNPA1","heterogeneous nuclear ribonucleoprotein A1","A0A024RB53"
"20139-57","SH3GL2","SH3 domain containing GRB2 like 2, endophilin A1","B2R618"
"20141-42","TCEA2","transcription elongation factor A2","A0A0A0MT58"
"20142-42","UBE2C","ubiquitin conjugating enzyme E2 C","A0A087WVK1"
"20159-1","NRN1L","neuritin 1 like","Q496H8"
"20161-41","NCAM1","neural cell adhesion molecule 1","A0A087WWD4"
"20165-4","DPYS","dihydropyrimidinase","Q14117"
"20167-6","RAB8B","RAB8B, member RAS oncogene family","B4DMS1"
"20173-39","CAPN9","calpain 9","E7ESS6"
"20175-17","COL9A3","collagen type IX alpha 3 chain","Q13681"
"20181-17","ITGA11","integrin subunit alpha 11","A8K8T0"
"20183-48","MEOX1","mesenchyme homeobox 1","P50221"
"20185-44","DLAT","dihydrolipoamide S-acetyltransferase","A0A7P0Z4G4"
"20187-10","ITGB3","integrin subunit beta 3","A0A5E4DMZ9"
"20189-28","ITGAV","integrin subunit alpha V","A5YM53"
"20189-4","ITGB6","integrin subunit beta 6","A8K2N5"
"20191-13","ITGAV","integrin subunit alpha V","A5YM53"
"20195-13","IFIH1","interferon induced with helicase C domain 1","A8KA76"
"20197-14","VSNL1","visinin like 1","D6W515"
"20203-45","C1S","complement C1s","F8WCZ6"
"20205-55","DYRK2","dual specificity tyrosine phosphorylation regulated kinase 2","Q92630"
"20211-75","GBP5","guanylate binding protein 5","B2RCE1"
"20213-82","HSPA6","heat shock protein family A (Hsp70) member 6","A0A384NKX5"
"20215-45","ITGB1","integrin subunit beta 1","A8K6N2"
"20217-26","LMNB2","lamin B2","A0A384NPH0"
"20219-25","MME","membrane metalloendopeptidase","A8K6U6"
"20221-26","PDE4C","phosphodiesterase 4C","B3KTC4"
"20225-119","STAT5A","signal transducer and activator of transcription 5A","A0A384N5W4"
"20229-67","TM2D1","TM2 domain containing 1","A6NDA8"
"20231-23","UPP2","uridine phosphorylase 2","O95045"
"20237-38","OAT","ornithine aminotransferase","A0A140VJQ4"
"20241-9","SNAP23","synaptosome associated protein 23","A8K287"
"20243-26","PFN1","profilin 1","P07737"
"20245-13","RXRA","retinoid X receptor alpha","A0A5F9ZHH6"
"20247-17","DPYSL4","dihydropyrimidinase like 4","B2RMQ1"
"20367-6","IL4I1","interleukin 4 induced 1","A2RRH1"
"20370-6","ACYP1","acylphosphatase 1","A6NDV8"
"20373-141","GID8","GID complex subunit 8 homolog","E1P5I3"
"20374-41","COQ9","coenzyme Q9","A8K3L2"
"20376-64","TATDN1","TatD DNase domain containing 1","Q6P1N9"
"20378-110","LZTFL1","leucine zipper transcription factor like 1","H7C488"
"20379-59","SVBP","small vasohibin binding protein","A8K5P1"
"20380-50","LSM12","LSM12 homolog","K7ELG9"
"20381-21","PIH1D2","PIH1 domain containing 2","Q8WWB5"
"20382-8","MOSPD1","motile sperm domain containing 1","Q2I381"
"20383-31","RBM18","RNA binding motif protein 18","B3KQ89"
"20385-21","CPTP","ceramide-1-phosphate transfer protein","Q4G0E6"
"20386-15","PTRHD1","peptidyl-tRNA hydrolase domain containing 1","Q6GMV3"
"20387-277","CHCHD7","coiled-coil-helix-coiled-coil-helix domain containing 7","E5RJ15"
"20388-8","TSR2","TSR2 ribosome maturation factor","Q969E8"
"20389-36","IMMP2L","inner mitochondrial membrane peptidase subunit 2","A4D0S9"
"20390-4","HMGN3","high mobility group nucleosomal binding domain 3","A0A9L9PXD4"
"20393-10","PDE6H","phosphodiesterase 6H","Q13956"
"20396-70","COMMD6","COMM domain containing 6","A6NF28"
"20398-60","POP7","POP7 homolog, ribonuclease P/MRP subunit","A4D2E0"
"20399-7","OXLD1","oxidoreductase like domain containing 1","A6ND24"
"20401-19","BUD31","BUD31 homolog","A4D274"
"20402-11","TRAPPC2","trafficking protein particle complex subunit 2","A6NEG0"
"20408-11","TOMM20","translocase of outer mitochondrial membrane 20","A8K195"
"20411-52","TTC33","tetratricopeptide repeat domain 33","B2R6G0"
"20423-40","CIB1","calcium and integrin binding 1","Q99828"
"20425-12","HHEX","hematopoietically expressed homeobox","B1AQ17"
"20426-34","LRATD1","LRAT domain containing 1","A6NP76"
"20427-18","MED20","mediator complex subunit 20","B3KUJ9"
"20428-5","PHOSPHO1","phosphoethanolamine/phosphocholine phosphatase 1","Q8TCT1"
"20430-8","NPPC","natriuretic peptide C","P23582"
"20432-6","PGPEP1","pyroglutamyl-peptidase I","U3KQ24"
"20433-19","MRPL1","mitochondrial ribosomal protein L1","A0PJ79"
"20434-23","PCP4L1","Purkinje cell protein 4 like 1","A6NKN8"
"20435-41","EMC2","ER membrane protein complex subunit 2","A8K4K9"
"20436-93","TPGS2","tubulin polyglutamylase complex subunit 2","Q68CL5"
"20437-9","DNALI1","dynein axonemal light intermediate chain 1","A8K387"
"20439-14","PLPBP","pyridoxal phosphate binding protein","A8K520"
"20440-36","TTC32","tetratricopeptide repeat domain 32","Q5I0X7"
"20441-35","POLR2E","RNA polymerase II, I and III subunit E","A0A087WWX0"
"20442-12","RCAN3","RCAN family member 3","A4GU14"
"20443-37","TEN1","TEN1 subunit of CST complex","D3U720"
"20444-12","TPPP3","tubulin polymerization promoting protein family member 3","Q49AH9"
"20445-29","AP1AR","adaptor related protein complex 1 associated regulatory protein","B2RCV7"
"20447-11","TGIF2LY","TGFB induced factor homeobox 2 like Y-linked","A2VCU1"
"20448-7","POLR2F","RNA polymerase II, I and III subunit F","U3KPY1"
"20449-72","JOSD1","Josephin domain containing 1","A8K712"
"20451-126","IFT22","intraflagellar transport 22","A8K889"
"20453-9","NSMCE1","NSE1 homolog, SMC5-SMC6 complex component","B2RDU2"
"20454-24","NABP1","nucleic acid binding protein 1","H7C0W4"
"20457-13","COA4","cytochrome c oxidase assembly factor 4 homolog","B2RAA0"
"20458-22","NDUFA2","NADH:ubiquinone oxidoreductase subunit A2","O43678"
"20460-22","IFT20","intraflagellar transport 20","J3QR43"
"20461-58","FAM50A","family with sequence similarity 50 member A","A8KAQ4"
"20463-315","IMPACT","impact RWD domain protein","A0A3B3ITH3"
"20464-7","KHDC1L","KH domain containing 1 like","E1P535"
"20511-3","F11R","F11 receptor","Q9Y5B2"
"20512-2","MCAM","melanoma cell adhesion molecule","B2R642"
"20514-8","BAMBI","BMP and activin membrane bound inhibitor","Q13145"
"20516-11","SCN3B","sodium voltage-gated channel beta subunit 3","A5H1I5"
"20517-1","DSG2","desmoglein 2","A0AAQ5BGX8"
"20518-11","TNFRSF25","TNF receptor superfamily member 25","A5LIN1"
"20519-7","CD6","CD6 molecule","Q8N4Q7"
"2052-1",NA,NA,NA
"20520-14","FAM3C","FAM3 metabolism regulating signaling molecule C","A6NDN2"
"20521-83","CD28","CD28 molecule","B4E0L1"
"20522-2","IL1RAPL1","interleukin 1 receptor accessory protein like 1","A0AVG4"
"20524-38","NRG3","neuregulin 3","B4DKH1"
"20525-200","PDIA4","protein disulfide isomerase family A member 4","A0A499FI48"
"20526-3","RAET1L","retinoic acid early transcript 1L","A3KME4"
"20527-47","SEMA5B","semaphorin 5B","A8K5U2"
"20528-23","CD68","CD68 molecule","P34810"
"20529-7","CDH10","cadherin 10","X5DNG6"
"2053-2",NA,NA,NA
"20530-2","SEMA6D","semaphorin 6D","A0A185QE25"
"20531-5","SLAMF9","SLAM family member 9","Q96A28"
"20533-39","IL12A","interleukin 12A","E9PGR3"
"20534-6","SCARB1","scavenger receptor class B member 1","A0A7P0T9I2"
"20535-68","IL17RE","interleukin 17 receptor E","B4DMZ3"
"20536-11","ESAM","endothelial cell adhesion molecule","B4DVN8"
"20538-71","SIGLEC11","sialic acid binding Ig like lectin 11","Q96RL6"
"20539-4","DEFA3","defensin alpha 3","P59666"
"2054-3",NA,NA,NA
"20540-65","SEMA4G","semaphorin 4G","Q9NTN9"
"20541-73","CD1B","CD1b molecule","B4E0D3"
"20542-47","CALCR","calcitonin receptor","A0A0A0MSQ7"
"20543-19","DEFB127","defensin beta 127","Q14DW6"
"20544-103","GRIK2","glutamate ionotropic receptor kainate type subunit 2","A0A804HKP5"
"20545-17","MFAP3","microfibril associated protein 3","P55082"
"20546-71","RTN4RL1","reticulon 4 receptor like 1","A1A5E3"
"20547-5","CHRNB3","cholinergic receptor nicotinic beta 3 subunit","Q05901"
"20549-1","IZUMO4","IZUMO family member 4","O75250"
"2055-4",NA,NA,NA
"20550-38","NTM","neurotrimin","B7Z9J9"
"20553-2","PIK3IP1","phosphoinositide-3-kinase interacting protein 1","Q96FE7"
"20557-19","VSIG8","V-set and immunoglobulin domain containing 8","P0DPA2"
"20558-4","EPHA8","EPH receptor A8","P29322"
"2056-5",NA,NA,NA
"20561-15","CNTN6","contactin 6","B4DGV0"
"20562-78","KLRB1","killer cell lectin like receptor B1","A8K7K7"
"20563-48","TLR10","toll like receptor 10","A8K7L1"
"20564-53","THY1","Thy-1 cell surface antigen","B0YJA4"
"20568-3","FREM1","FRAS1 related extracellular matrix 1","Q5H8C1"
"2057-6",NA,NA,NA
"20570-18","VSTM1","V-set and transmembrane domain containing 1","A0A0G2JPS7"
"20572-6","MERTK","MER proto-oncogene, tyrosine kinase","B2RE75"
"20574-8","CD81","CD81 molecule","E9PJK1"
"20575-82","CLEC9A","C-type lectin domain containing 9A","B0ZBM2"
